product_id,product_name,category_id,unit,unit_price,cost_price,barcode,status
1,2型糖尿病的逆转、缓解,11,本,128.00,91.15,9787523211762,onsale
2,一日看尽长安花：植物的诗韵雅乐,24,本,89.00,67.49,9787519287993,onsale
3,中华文化与人类未来,11,本,89.00,55.36,9787523219973,onsale
4,中国人口经济史（5卷）,8,本,1320.00,767.32,9787523215289,onsale
5,中国漕运史,8,本,168.00,108.19,9787523210765,onsale
6,中国砖瓦陶文大字典,41,本,600.00,396.48,9787519294922,onsale
7,你不知道的流失海外中国书法珍品,11,本,88.00,53.94,9787523230978,onsale
8,儿童体检全攻略：从疾病筛查到健康管理,28,本,65.00,46.74,9787523222706,onsale
9,光的探索：从伽利略望远镜到奇异量子世界,11,本,88.00,54.74,9787523208762,onsale
10,匠心致远：影响全球文明的中华工匠技术,11,本,69.80,45.82,9787519292522,onsale
11,大英博物馆大维德爵士收藏中国陶瓷图录,11,本,399.00,249.22,9787523215784,onsale
12,宇宙：当科学与艺术相遇,11,本,248.00,156.93,9787523220849,onsale
13,成人心脏外科围手术期管理 (原著第6版),11,本,398.00,244.09,9787523202159,onsale
14,新德里国家博物馆中的敦煌艺术,11,本,169.00,114.11,9787523213308,onsale
15,机器人泌尿外科手术：实战技巧与案例解析,11,本,198.00,141.65,9787519293048,onsale
16,汤一介讲中国哲学,9,本,79.00,47.17,9787523211847,onsale
17,草木有本心：生活中的博物学,11,本,89.00,55.97,9787523200964,onsale
18,药物经济学精要：健康经济与结果研究（原著第3版）,27,本,398.00,239.40,9787523208243,onsale
19,进击的病毒,11,本,49.00,34.57,9787519289614,onsale
20,道生医：中医的顶层理论,27,本,68.00,45.89,9787519289195,onsale
21,量子力学：巨匠与脚手架,21,本,129.00,84.71,9787523233122,onsale
22,钱三强往来书信集注,11,本,128.00,93.12,9787523202883,onsale
23,麦场上的遗穗——柳鸣九先生遗著集,11,本,69.00,41.07,9787523205457,onsale
24,黑体辐射：一只会下物理金蛋的鹅,21,本,109.00,67.18,9787523210024,onsale
25,万年中国——中华文明的起源与形成,11,本,68.00,51.20,9787547322468,onsale
26,上海六千年：海纳百川的文明之路,11,本,88.00,64.32,9787547327364,onsale
27,上海城记,11,本,68.00,42.44,9787547319796,onsale
28,中国国家博物馆国际博物馆学译丛,11,本,1211.00,716.06,9787547322949,onsale
29,中国文化十五讲,11,本,78.00,50.28,9787547324370,onsale
30,中国文学史,8,本,118.00,70.63,9787547325117,onsale
31,中国木结构古建筑寻访笔记,23,本,138.00,92.23,9787547329399,onsale
