source_query_category,title,isbn,authors,publisher,publish_year,publish_date_raw,page_count,language,category_name,unit,suggested_unit_price,status,openlibrary_key
计算机,An introduction to database systems,9788178082318,C. J. Date,Pearson Education,2000,,960,eng,计算机,本,79.0,onsale,/works/OL17670296W
计算机,"Database Systems: Design, Implementation, & Management",9781305627482,Carlos Coronel; Steven Morris,Cengage Learning,2016,,784,,计算机,本,79.0,onsale,/works/OL19546217W
计算机,An introduction to database systems,9780201144390,C. J. Date,Addison-Wesley,1977,,574,eng,计算机,本,79.0,onsale,/works/OL12113207W
计算机,Database systems,9780072353877,Paolo Atzeni; Stefano Ceri; Stefano Paraboschi; Riccardo Torlone,McGraw-Hill Higher Education,1999,,612,eng,计算机,本,79.0,onsale,/works/OL18979154W
计算机,Business database systems,9781405874373,Thomas Connolly,"Pearson Education, Limited",2007,,640,eng,计算机,本,79.0,onsale,/works/OL11904070W
计算机,Database Systems,9781943153190,Nenad Jukic; Susan Vrbsky; Svetlozar Nestorov,Prospect Press,2016,,400,,计算机,本,79.0,onsale,/works/OL21341489W
计算机,Database Systems Design Implementation And Management,9781285196145,Carlos Coronel,"Cengage Learning, Inc",2014,,752,,计算机,本,79.0,onsale,/works/OL17445773W
计算机,Database System Concepts,9780071244763,Korth,McGraw-Hill College,2005,,1024,eng,计算机,本,79.0,onsale,/works/OL281892W
计算机,"Fundamentals Of Database System, 7Th Edn",9789332582705,Elmasri Ramez And Navathe Shamkant,Pearson India,2017,,1272,,计算机,本,79.0,onsale,/works/OL20870053W
计算机,Readings in database systems,9780262332507,Michael Stonebraker,MIT Press,2005,,878,eng,计算机,本,79.0,onsale,/works/OL19817631W
计算机,Intelligent database systems,9780201877366,Elisa Bertino,Addison-Wesley,2000,,452,eng,计算机,本,79.0,onsale,/works/OL3932234W
计算机,Database systems,9780023996658,Catherine M. Ricardo,Macmillan,1990,,576,eng,计算机,本,79.0,onsale,/works/OL4781066W
计算机,Fundamentals of database systems,9780805317480,Ramez Elmasri,Addison-Wesley,1994,,873,eng,计算机,本,79.0,onsale,/works/OL16036604W
计算机,Loose Leaf for Database System Concepts,9781260515046,Henry F. Korth; Abraham Silberschatz; S. Sudarshan,McGraw-Hill Education,2019,,1376,eng,计算机,本,79.0,onsale,/works/OL21861795W
计算机,Readings in database systems,9781558605237,Michael Stonebraker,Morgan Kaufmann,1998,,685,eng,计算机,本,79.0,onsale,/works/OL18944915W
计算机,Database systems,9780878355792,Philip J. Pratt,Boyd & Fraser Pub. Co.,1987,,792,eng,计算机,本,79.0,onsale,/works/OL2367819W
计算机,Database systems,9781423902010,Peter Rob; Carlos Coronel,Course Technology Cengage Learning,2007,,703,eng,计算机,本,79.0,onsale,/works/OL18774676W
计算机,Database Systems,9780132144988,Ramez Elmasri; Shamkant B. Navathe,"Pearson Education, Limited",2010,,1200,eng,计算机,本,79.0,onsale,/works/OL21454706W
计算机,Database systems using Oracle,9780131911802,Nilesh Shah,"Pearson Education, Limited",2004,,457,eng,计算机,本,79.0,onsale,/works/OL18327427W
计算机,"Fundamentals of Database Systems, Global Edition",9781292097619,Ramez Elmasri; Shamkant B. Navathe,Pearson Higher Ed,2016,,1272,eng,计算机,本,79.0,onsale,/works/OL20910189W
计算机,Database Systems,9789353438913,Thomas Connolly,"Pearson Education, Limited",2005,,,eng,计算机,本,79.0,onsale,/works/OL24212937W
计算机,Database System Concepts,9781260084504,SILBERSCHATZ,McGraw-Hill Education,2019,,1376,eng,计算机,本,79.0,onsale,/works/OL21198749W
计算机,Fundamentals of database systems,9788131716250,Ramez Elmasri,Pearson,2008,,1143,eng,计算机,本,79.0,onsale,/works/OL24893395W
计算机,"Database Systems Design, Implementation, and Management",9780760010907,Peter Rob,Cengage Learnin,1999,,721,eng,计算机,本,79.0,onsale,/works/OL15027935W
计算机,Advanced database systems,9781558604438,Carlo Zaniolo,Elsevier Science & Technology Books,1997,,574,eng,计算机,本,79.0,onsale,/works/OL19234357W
计算机,Database Systems Introduction to Databases and Data Warehouses,9780132575676,Nenad Juki,Pearson Education (US),2013,,408,,计算机,本,79.0,onsale,/works/OL17573988W
计算机,Designing relational database systems,9780735606340,Rebecca Riordan,Microsoft Press,1999,,293,eng,计算机,本,79.0,onsale,/works/OL16054043W
计算机,An introduction to database systems,9780314667717,Bipin C. Desai,West Pub. Co.,1990,,820,eng,计算机,本,79.0,onsale,/works/OL4787388W
计算机,An Introduction to Database Systems,9780321197849,C.J. Date,Addison Wesley,2003,,1024,eng,计算机,本,79.0,onsale,/works/OL8019360W
